序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
171,873703,广厦环能,26.61,3.54,0.91,32917.0,86106952.42,6.34,26.83,25.2,25.65,25.7,1.65,11.21,13.93,2.65,2864832600.0,781588920.0,0.0,0.04,0.6,28.3
172,832110,雷特科技,36.49,3.52,1.24,13549.0,48888205.88,4.23,36.49,35.0,35.0,35.25,1.23,8.34,24.05,3.92,1423110000.0,592561110.0,0.05,0.11,-1.27,11.59
173,831689,克莱特,24.46,3.51,0.83,20961.0,50356154.0,6.31,24.48,22.99,22.99,23.63,0.74,5.63,24.69,3.85,1795364000.0,910171692.0,0.04,0.04,3.95,26.74
174,831445,龙竹科技,9.16,3.5,0.31,72131.0,65013651.03,4.86,9.18,8.75,8.78,8.85,1.04,6.85,57.18,3.93,1345879029.0,964207166.0,0.22,0.33,-17.55,22.62
175,872190,雷神科技,38.72,3.5,1.31,57892.0,220157158.87,4.6,38.72,37.0,37.09,37.41,0.85,5.87,133.98,4.53,3872000039.0,3820697975.0,0.1,0.16,38.53,32.97
176,836942,恒立钻具,17.19,3.37,0.56,26007.0,44217752.66,5.23,17.28,16.41,16.59,16.63,1.09,6.3,21.62,2.16,1054212849.0,709130716.0,0.17,0.0,-3.91,24.66
177,831304,迪尔化工,14.51,3.35,0.47,130676.0,185566962.37,8.76,14.8,13.57,13.85,14.04,1.59,16.58,20.5,4.67,2354798880.0,1143806672.0,0.07,0.14,-1.43,12.22
178,835670,数字人,19.6,3.32,0.63,53196.0,103242537.17,5.96,19.75,18.62,18.72,18.97,1.13,7.98,-375.28,8.62,2081175040.0,1306309052.0,0.1,0.0,-14.34,27.19
179,836699,海达尔,53.9,3.32,1.73,15010.0,79636393.69,4.96,53.9,51.31,51.82,52.17,0.77,7.19,22.35,7.96,2459203670.0,1125178670.0,0.07,0.37,9.2,41.1
180,838227,美登科技,59.89,3.29,1.91,11753.0,69934134.93,7.61,60.69,56.28,56.28,57.98,1.11,6.67,42.64,5.68,2332206435.0,1055483633.0,0.0,-0.07,9.09,23.36
181,837242,建邦科技,34.08,3.27,1.08,18473.0,62366786.09,4.82,34.48,32.89,34.34,33.0,0.72,5.04,15.85,3.69,2243767560.0,1247983188.0,0.09,0.24,12.59,42.42
182,831370,新安洁,4.46,3.24,0.14,266857.0,118432143.86,9.95,4.62,4.19,4.4,4.32,2.63,9.97,-20.11,2.1,1366008800.0,1193313448.0,-0.22,0.0,-12.2,30.79
183,837592,华信永道,64.11,3.24,2.01,17809.0,113298678.07,6.43,64.5,60.51,62.5,62.1,0.58,4.66,244.56,10.22,3984436500.0,2447797758.0,0.02,0.06,-22.12,3.37
184,839946,华阳变速,9.26,3.23,0.29,96982.0,87961392.61,6.91,9.34,8.72,8.76,8.97,0.72,9.74,-57.49,5.66,1250011502.0,921717250.0,-0.11,0.11,1.09,45.83
185,833266,生物谷,10.73,3.17,0.33,48286.0,51069784.87,7.6,10.87,10.08,10.15,10.4,1.38,6.27,-14.49,1.43,1330520075.0,826105404.0,0.09,-0.09,-16.17,14.27
186,838262,太湖雪,26.34,3.17,0.81,31031.0,80353262.41,6.42,26.66,25.02,26.0,25.53,1.33,12.2,37.55,4.42,1400359726.0,670159006.0,0.53,-0.19,-0.15,6.99
187,839167,同享科技,24.42,3.13,0.74,52540.0,124880409.36,7.09,24.48,22.8,23.12,23.68,1.05,8.05,32.44,4.23,2679023573.0,1594001752.0,0.08,0.0,-6.65,27.52
188,834770,艾能聚,21.82,3.07,0.65,88851.0,189179365.91,7.42,21.98,20.41,20.84,21.17,0.94,10.85,57.98,4.83,2839484059.0,1786922716.0,0.28,0.23,-2.28,39.42
