序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
112,000518,四环生物,2.29,6.02,0.13,290077,65734395.0,8.33,2.35,2.17,2.18,2.16,6.12,2.82,-120.97,5.05,2357683748,2357636737,-1.72,0.88,-39.74,-9.49
113,301392,汇成真空,103.24,6.0,5.84,25873,261948803.03,7.41,104.22,97.0,101.66,97.4,5.87,11.5,120.07,14.07,10324000000,2322900000,-0.72,1.55,37.71,67.16
114,603931,格林达,31.87,5.95,1.79,55700,175330117.0,4.72,32.0,30.58,30.58,30.08,3.43,2.79,43.0,4.14,6359925571,6359925571,0.54,0.85,23.38,37.43
115,002840,华统股份,11.4,5.95,0.64,209829,236851624.6,4.83,11.48,10.96,10.98,10.76,15.66,4.22,101.31,3.0,7216426666,5674506875,0.09,0.18,-15.56,-9.6
116,001306,夏厦精密,104.8,5.93,5.87,18507,190890889.0,6.47,105.9,99.5,101.99,98.93,3.92,11.94,102.1,4.98,6497600000,1624400000,0.07,-0.28,62.58,86.48
117,603067,振华股份,17.51,5.93,0.98,119956,206204242.0,7.5,17.65,16.41,16.54,16.53,4.38,2.36,18.37,2.93,8913006773,8913006773,1.04,0.34,36.16,38.64
118,831641,格利尔,18.29,5.91,1.02,19208,34403788.99,6.37,18.38,17.28,17.6,17.27,3.11,4.3,-139.18,4.05,1414091350,816782840,1.55,1.22,-7.49,50.04
119,300855,图南股份,25.0,5.89,1.39,101941,250967985.52,6.35,25.3,23.8,23.8,23.61,10.51,3.48,28.73,5.01,9888287500,7323903450,0.36,0.0,4.17,14.05
120,688560,明冠新材,15.69,5.87,0.87,34640,53324040.0,7.29,15.8,14.72,14.79,14.82,8.27,1.72,-46.13,1.15,3158427093,3158427093,-0.13,0.58,5.3,22.67
121,300147,香雪制药,9.98,5.83,0.55,296358,297618008.48,9.01,10.45,9.6,9.6,9.43,9.22,4.51,-22.73,3.87,6599564869,6561441239,-0.2,0.1,-19.39,2.15
122,603773,沃格光电,25.63,5.82,1.41,71087,181199524.0,6.94,26.09,24.41,24.67,24.22,11.18,3.49,-86.81,4.33,5720575838,5223478118,-1.61,-1.42,0.55,1.3
123,301190,善水科技,19.48,5.81,1.07,45442,89060249.23,10.27,20.39,18.5,18.54,18.41,6.01,6.4,46.6,2.14,4181119020,1383993612,-0.71,-0.71,18.28,23.37
